"nome_setor","tipo_exame","comentario","nota","data_avaliacao","sentimento_regra"
"Ressonância Magnética","Ressonância Magnética do Joelho","Demora na entrega do laudo.",1,"2026-01-05","negativo"
"Ressonância Magnética","Ressonância magnética da coluna","Ambiente limpo e organizado.",2,"2025-11-30","negativo"
"Ressonância Magnética","Resssonância Magnética do joelho","Atendimento rápido e eficiente.",1,"2026-01-24","negativo"
"Ressonância Magnética","Ressonância Magnética do ombro","Falta de comunicação na recepção.",1,"2026-01-02","negativo"
"Ressonância Magnética","Ressonância Magnética do crânio","Falta de comunicação na recepção.",2,"2026-01-11","negativo"
"Ressonância Magnética","Resssonância Magnética do joelho","Laudo demorou mais do que o esperado.",5,"2026-02-04","positivo"
"Ressonância Magnética","Resssonância Magnética do joelho","Equipe muito atenciosa durante o exame.",2,"2025-11-17","negativo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Demora na entrega do laudo.",5,"2026-01-03","positivo"
"Ressonância Magnética","Ressonância Magnética do crânio","Laudo demorou mais do que o esperado.",2,"2025-12-28","negativo"
"Ressonância Magnética","Ressonância Magnética do Joelho","Atendimento rápido e equipe muito atenciosa.",5,"2025-01-11","positivo"
"Ressonância Magnética","Ressonância magnética da coluna","Demora na entrega do laudo, mas exame bem realizado.",3,"2025-01-13","neutro"
"Ressonância Magnética","Ressonância magnética da coluna","Ambiente organizado, porém poderia melhorar a comunicação.",4,"2025-01-13","positivo"
"Ressonância Magnética","Ressonância Magnética do crânio","Experiência excelente no setor de ressonância.",3,"2026-01-15","neutro"
"Ressonância Magnética","Ressonância Magnética da coluna","Equipe muito atenciosa durante o exame.",5,"2026-02-03","positivo"
"Ressonância Magnética","Resssonância Magnética do joelho","Laudo demorou mais do que o esperado.",4,"2025-12-28","positivo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Falta de comunicação na recepção.",2,"2025-12-23","negativo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Experiência excelente no setor de ressonância.",5,"2025-12-09","positivo"
"Ressonância Magnética","Resssonância Magnética do joelho","Atendimento rápido e eficiente.",4,"2026-01-28","positivo"
"Ressonância Magnética","Ressonância Magnética do ombro","Equipe muito atenciosa durante o exame.",3,"2025-12-05","neutro"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Demora para realização do exame.",3,"2025-11-20","neutro"
"Ressonância Magnética","Ressonância Magnética da coluna","Falta de comunicação na recepção.",5,"2025-12-07","positivo"
"Ressonância Magnética","Ressonância Magnética do crânio","Falta de comunicação na recepção.",5,"2026-01-21","positivo"
"Ressonância Magnética","Ressonância Magnética do crânio","Demora para realização do exame.",3,"2025-12-06","neutro"
"Ressonância Magnética","Ressonância Magnética do crânio","Demora para realização do exame.",2,"2025-12-25","negativo"
"Ressonância Magnética","Ressonância Magnética do ombro","Demora para realização do exame.",1,"2025-11-17","negativo"
"Ressonância Magnética","Ressonância Magnética da coluna","Atendimento rápido e eficiente.",4,"2025-12-23","positivo"
"Ressonância Magnética","Ressonância Magnética da coluna","Demora para realização do exame.",4,"2025-12-19","positivo"
"Ressonância Magnética","Ressonância Magnética do crânio","Demora para realização do exame.",3,"2025-12-15","neutro"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Experiência excelente no setor de ressonância.",1,"2025-12-10","negativo"
"Ressonância Magnética","Ressonância Magnética do ombro","Equipe muito atenciosa durante o exame.",2,"2026-01-06","negativo"
"Ressonância Magnética","Ressonância Magnética da coluna","Laudo demorou mais do que o esperado.",2,"2026-01-13","negativo"
"Ressonância Magnética","Ressonância Magnética da coluna","Ambiente limpo e organizado.",2,"2026-01-27","negativo"
"Ressonância Magnética","Ressonância Magnética do ombro","Laudo demorou mais do que o esperado.",5,"2026-01-23","positivo"
"Ressonância Magnética","Resssonância Magnética do joelho","Falta de comunicação na recepção.",1,"2026-02-04","negativo"
"Ressonância Magnética","Resssonância Magnética do joelho","Laudo demorou mais do que o esperado.",4,"2025-12-24","positivo"
"Ressonância Magnética","Resssonância Magnética do joelho","Demora na entrega do laudo.",1,"2025-11-19","negativo"
"Ressonância Magnética","Ressonância Magnética da coluna","Demora na entrega do laudo.",1,"2025-12-10","negativo"
"Ressonância Magnética","Ressonância Magnética da coluna","Laudo demorou mais do que o esperado.",3,"2025-11-28","neutro"
"Ressonância Magnética","Ressonância Magnética da coluna","Demora na entrega do laudo.",2,"2025-12-19","negativo"
"Ressonância Magnética","Ressonância Magnética do crânio","Equipe muito atenciosa durante o exame.",4,"2026-02-01","positivo"
"Ressonância Magnética","Ressonância Magnética da coluna","Experiência excelente no setor de ressonância.",3,"2026-01-15","neutro"
"Ressonância Magnética","Resssonância Magnética do joelho","Ambiente limpo e organizado.",4,"2026-01-19","positivo"
"Ressonância Magnética","Ressonância Magnética do crânio","Experiência excelente no setor de ressonância.",3,"2025-12-03","neutro"
"Ressonância Magnética","Ressonância Magnética do ombro","Demora para realização do exame.",2,"2026-01-15","negativo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Equipe muito atenciosa durante o exame.",5,"2025-12-01","positivo"
"Ressonância Magnética","Ressonância Magnética do ombro","Ambiente limpo e organizado.",4,"2026-02-02","positivo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Equipe muito atenciosa durante o exame.",2,"2025-12-20","negativo"
"Ressonância Magnética","Resssonância Magnética do joelho","Experiência excelente no setor de ressonância.",2,"2025-11-17","negativo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Ambiente limpo e organizado.",5,"2026-01-19","positivo"
"Ressonância Magnética","Resssonância Magnética do joelho","Laudo demorou mais do que o esperado.",2,"2025-12-28","negativo"
"Ressonância Magnética","Ressonância Magnética do crânio","Experiência excelente no setor de ressonância.",3,"2026-01-13","neutro"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Demora para realização do exame.",5,"2025-12-02","positivo"
"Ressonância Magnética","Ressonância Magnética do ombro","Laudo demorou mais do que o esperado.",3,"2026-01-08","neutro"
"Ressonância Magnética","Ressonância Magnética do ombro","Demora para realização do exame.",2,"2025-12-10","negativo"
"Ressonância Magnética","Ressonância Magnética da coluna","Experiência excelente no setor de ressonância.",2,"2026-01-09","negativo"
"Ressonância Magnética","Ressonância Magnética do Joelho","Ambiente limpo e organizado.",2,"2025-11-14","negativo"
"Ressonância Magnética","Ressonância magnética da coluna","Equipe muito atenciosa durante o exame.",4,"2026-01-29","positivo"
"Ressonância Magnética","Resssonância Magnética do joelho","Demora na entrega do laudo.",2,"2025-12-23","negativo"
"Ressonância Magnética","Ressonância Magnética do ombro","Demora na entrega do laudo.",3,"2025-12-24","neutro"
"Ressonância Magnética","Ressonância Magnética do crânio","Demora para realização do exame.",2,"2025-11-13","negativo"
"Ressonância Magnética","Resssonância Magnética do joelho","Demora para realização do exame.",1,"2026-01-10","negativo"
"Ressonância Magnética","Resssonância Magnética do joelho","Demora para realização do exame.",2,"2025-12-18","negativo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Demora para realização do exame.",4,"2026-01-04","positivo"
"Ressonância Magnética","Ressonância Magnética do crânio","Atendimento rápido e eficiente.",1,"2026-02-05","negativo"
"Ressonância Magnética","Ressonância Magnética do crânio","Equipe muito atenciosa durante o exame.",4,"2025-11-17","positivo"
"Ressonância Magnética","Ressonância Magnética da coluna","Demora para realização do exame.",2,"2026-01-01","negativo"
"Ressonância Magnética","Resssonância Magnética do joelho","Laudo demorou mais do que o esperado.",4,"2026-01-25","positivo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Demora na entrega do laudo.",1,"2026-02-09","negativo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Falta de comunicação na recepção.",2,"2025-12-05","negativo"
"Ressonância Magnética","Resssonância Magnética do joelho","Atendimento rápido e eficiente.",2,"2026-01-08","negativo"
"Ressonância Magnética","Ressonância Magnética do ombro","Equipe muito atenciosa durante o exame.",2,"2025-12-17","negativo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Demora na entrega do laudo.",1,"2025-12-13","negativo"
"Ressonância Magnética","Ressonância Magnética da coluna","Falta de comunicação na recepção.",4,"2025-12-26","positivo"
"Ressonância Magnética","Ressonância Magnética do crânio","Demora na entrega do laudo.",1,"2025-12-30","negativo"
"Ressonância Magnética","Ressonância Magnética do crânio","Demora para realização do exame.",4,"2025-12-16","positivo"
"Ressonância Magnética","Ressonância Magnética do crânio","Atendimento rápido e eficiente.",2,"2026-01-08","negativo"
"Ressonância Magnética","Ressonância Magnética do ombro","Falta de comunicação na recepção.",3,"2026-01-28","neutro"
"Ressonância Magnética","Ressonância Magnética da coluna","Equipe muito atenciosa durante o exame.",2,"2026-01-08","negativo"
"Ressonância Magnética","Ressonância Magnética da coluna","Demora na entrega do laudo.",1,"2025-11-17","negativo"
"Ressonância Magnética","Ressonância Magnética do crânio","Demora para realização do exame.",2,"2025-12-05","negativo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Demora para realização do exame.",2,"2025-12-12","negativo"
"Ressonância Magnética","Ressonância Magnética do ombro","Atendimento rápido e eficiente.",3,"2025-11-30","neutro"
"Ressonância Magnética","Ressonância Magnética da coluna","Demora para realização do exame.",3,"2025-11-18","neutro"
"Ressonância Magnética","Ressonância Magnética da coluna","Laudo demorou mais do que o esperado.",3,"2025-11-29","neutro"
"Ressonância Magnética","Ressonância Magnética do ombro","Equipe muito atenciosa durante o exame.",5,"2026-01-02","positivo"
"Ressonância Magnética","Resssonância Magnética do joelho","Ambiente limpo e organizado.",4,"2025-12-15","positivo"
"Ressonância Magnética","Resssonância Magnética do joelho","Demora na entrega do laudo.",4,"2025-12-05","positivo"
"Ressonância Magnética","Resssonância Magnética do joelho","Falta de comunicação na recepção.",1,"2026-02-07","negativo"
"Ressonância Magnética","Ressonância Magnética da coluna","Ambiente limpo e organizado.",2,"2025-11-26","negativo"
"Ressonância Magnética","Ressonância Magnética da coluna","Demora para realização do exame.",4,"2025-12-17","positivo"
"Ressonância Magnética","Ressonância Magnética da coluna","Ambiente limpo e organizado.",4,"2025-12-28","positivo"
"Ressonância Magnética","Ressonância Magnética do crânio","Experiência excelente no setor de ressonância.",3,"2026-01-18","neutro"
"Ressonância Magnética","Ressonância Magnética da coluna","Equipe muito atenciosa durante o exame.",1,"2025-12-20","negativo"
"Ressonância Magnética","Resssonância Magnética do joelho","Experiência excelente no setor de ressonância.",1,"2026-02-06","negativo"
"Ressonância Magnética","Ressonância Magnética do crânio","Demora na entrega do laudo.",5,"2025-11-16","positivo"
"Ressonância Magnética","Ressonância Magnética do ombro","Demora na entrega do laudo.",4,"2025-11-13","positivo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Experiência excelente no setor de ressonância.",5,"2026-01-18","positivo"
"Ressonância Magnética","Ressonância Magnética do ombro","Laudo demorou mais do que o esperado.",4,"2025-11-20","positivo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Demora na entrega do laudo.",1,"2026-02-08","negativo"
"Ressonância Magnética","Resssonância Magnética do joelho","Demora para realização do exame.",3,"2025-11-29","neutro"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Equipe muito atenciosa durante o exame.",3,"2026-01-19","neutro"
"Ressonância Magnética","Resssonância Magnética do joelho","Atendimento rápido e eficiente.",1,"2025-12-30","negativo"
"Ressonância Magnética","Ressonância Magnética do crânio","Demora para realização do exame.",5,"2025-11-26","positivo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Laudo demorou mais do que o esperado.",2,"2026-01-18","negativo"
"Ressonância Magnética","Ressonância Magnética do ombro","Ambiente limpo e organizado.",4,"2025-12-02","positivo"
"Ressonância Magnética","Ressonância Magnética do ombro","Falta de comunicação na recepção.",2,"2025-11-28","negativo"
"Ressonância Magnética","Ressonância Magnética da coluna","Demora na entrega do laudo.",3,"2025-11-25","neutro"
"Ressonância Magnética","Ressonância Magnética do Joelho","Equipe muito atenciosa durante o exame.",4,"2025-11-17","positivo"
"Ressonância Magnética","Ressonância magnética da coluna","Laudo demorou mais do que o esperado.",1,"2025-11-23","negativo"
"Ressonância Magnética","Resssonância Magnética do joelho","Falta de comunicação na recepção.",4,"2025-12-14","positivo"
"Ressonância Magnética","Ressonância Magnética do ombro","Demora para realização do exame.",2,"2026-01-18","negativo"
"Ressonância Magnética","Ressonância Magnética do crânio","Atendimento rápido e eficiente.",1,"2026-02-10","negativo"
"Ressonância Magnética","Resssonância Magnética do joelho","Experiência excelente no setor de ressonância.",2,"2025-12-08","negativo"
"Ressonância Magnética","Resssonância Magnética do joelho","Demora para realização do exame.",1,"2026-01-05","negativo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Experiência excelente no setor de ressonância.",5,"2026-01-15","positivo"
"Ressonância Magnética","Ressonância Magnética do crânio","Falta de comunicação na recepção.",5,"2025-12-01","positivo"
"Ressonância Magnética","Ressonância Magnética do crânio","Experiência excelente no setor de ressonância.",5,"2026-01-10","positivo"
"Ressonância Magnética","Ressonância Magnética da coluna","Equipe muito atenciosa durante o exame.",2,"2026-01-07","negativo"
"Ressonância Magnética","Resssonância Magnética do joelho","Equipe muito atenciosa durante o exame.",2,"2026-01-01","negativo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Equipe muito atenciosa durante o exame.",4,"2025-11-17","positivo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Falta de comunicação na recepção.",1,"2025-12-06","negativo"
"Ressonância Magnética","Resssonância Magnética do joelho","Demora para realização do exame.",2,"2026-01-01","negativo"
"Ressonância Magnética","Ressonância Magnética do ombro","Ambiente limpo e organizado.",5,"2026-01-29","positivo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Demora para realização do exame.",1,"2026-01-05","negativo"
"Ressonância Magnética","Ressonância Magnética da coluna","Ambiente limpo e organizado.",5,"2025-12-21","positivo"
"Ressonância Magnética","Ressonância Magnética do crânio","Demora para realização do exame.",1,"2025-12-10","negativo"
"Ressonância Magnética","Ressonância Magnética do crânio","Demora para realização do exame.",3,"2026-02-10","neutro"
"Ressonância Magnética","Ressonância Magnética do crânio","Experiência excelente no setor de ressonância.",4,"2026-02-07","positivo"
"Ressonância Magnética","Ressonância Magnética do ombro","Demora para realização do exame.",5,"2025-12-28","positivo"
"Ressonância Magnética","Ressonância Magnética da coluna","Equipe muito atenciosa durante o exame.",1,"2025-12-17","negativo"
